prompt_id,prompt_sha1,prompt_len,instruction_template,use_case,n_interactions,share_within_template,n_sessions,n_users,use_case_mismatch_count,instruction_text,instruction_id,instruction_sha1,instruction_len
2df52d847c72d1f6b37061123acb53282123086b,ea733c780cb54724e7f468aee787582220c4a104,162,analytics_helper,brainstorming,156,0.1003215434083601,101,97,0,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",SP_ca1bb9120a23,ca1bb9120a23664b57e2cc37e43b8df7a43cafae,144
54f94ac4f6df7ccc4808605ae4fb839b7a1fbfb2,95ab088c59a1c77e680b2015d064083763a54d79,200,analytics_helper,coding_assistant,304,0.1954983922829582,181,149,0,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",SP_3eb46160306e,3eb46160306e8b6cbc4876b6be6abb4a89feb5cb,182
9716fa3b2c6fe39ac0f75ddaad781dfa757a0de9,831f6d7163e835f2ae48b7fad5d14c888b4eb8e2,180,analytics_helper,content_writing,265,0.1704180064308681,164,142,0,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",SP_19bb5b9b4167,19bb5b9b416700ffd6ae7da808da052b4b88e996,162
598eba0ae15195966a9835b68c542f0b34fb88e4,870199b7b6c71f24b69ba2e003e9912665961f01,181,analytics_helper,customer_support,465,0.2990353697749196,296,218,0,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",SP_afbdfcb7694b,afbdfcb7694bd84cf4db575f3c1eed266714bd35,163
fbaac57cdb64395ff60fbf79b148e22caaff1431,8177380ba6140d1707221fe0448c6c5ebfe3dd6e,186,analytics_helper,data_analysis,230,0.1479099678456591,156,129,0,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",SP_cf1ff26ed509,cf1ff26ed50940569363dfec41666e75134fe802,168
d33eca392020f2e6e14ec7fe3091a25b46d6bae1,be51d4bf1c96032df6056980c860280f4dcf817a,200,analytics_helper,internal_qa,135,0.0868167202572347,80,74,0,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",SP_127f482b9b39,127f482b9b39c39d3f33bfdd983eeac3ca08ad1f,182
9886b059d7fa547dc6fd91d4a5c80abdb317022d,748752d9486e458c47e547757a8c6e9dc80ad75f,167,code_assistant_secure,brainstorming,148,0.1033519553072625,102,95,0,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",SP_ca1bb9120a23,ca1bb9120a23664b57e2cc37e43b8df7a43cafae,144
52eadb52b3319d2dab569ce8fb653a0bee56a90f,2742f887959c5b8994039cb79405309f4360f93d,205,code_assistant_secure,coding_assistant,259,0.1808659217877095,167,140,0,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",SP_3eb46160306e,3eb46160306e8b6cbc4876b6be6abb4a89feb5cb,182
20f1dad1d39f7b8df6faaa166fe78024f8d03fd6,89edad7023e43caa6bd908f5ea5f2e10b9254144,185,code_assistant_secure,content_writing,238,0.1662011173184357,152,127,0,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",SP_19bb5b9b4167,19bb5b9b416700ffd6ae7da808da052b4b88e996,162
1a8e13c1d6c8047debb9a230bf3ae08524ccb884,9fd4013a273a6ed3ba09b87486c60071dae4c328,186,code_assistant_secure,customer_support,424,0.2960893854748603,297,213,0,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",SP_afbdfcb7694b,afbdfcb7694bd84cf4db575f3c1eed266714bd35,163
4e275efe35fdc513983e7d3f3ad32b50cc391969,9279ed25fc2169f91658f5c7a374fbfd4495103b,191,code_assistant_secure,data_analysis,236,0.164804469273743,159,133,0,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",SP_cf1ff26ed509,cf1ff26ed50940569363dfec41666e75134fe802,168
aa53b49d0d254b7716206a79226e020b55eab93b,2f6de51166f4b3262d1f4e4b0df2b4c3d5cc5edb,205,code_assistant_secure,internal_qa,127,0.0886871508379888,84,76,0,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",SP_127f482b9b39,127f482b9b39c39d3f33bfdd983eeac3ca08ad1f,182
6f52c3b4cdce68aa614a61f324617ae8d0e91690,576ba7b093d2813c1430e6be848aa6e33ce0e2b2,161,creative_writer,brainstorming,160,0.1075991930060524,107,101,0,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",SP_ca1bb9120a23,ca1bb9120a23664b57e2cc37e43b8df7a43cafae,144
83c939e9b891e505ac06548e158556e919317a64,83041b1ce7dfe7d1105b853928932b0e86617994,199,creative_writer,coding_assistant,266,0.1788836583725622,183,156,0,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",SP_3eb46160306e,3eb46160306e8b6cbc4876b6be6abb4a89feb5cb,182
469eb15f8b08d9b4130e14a6c3888f14e335a854,d38fddace1c5407820f26c0246397308f35616de,179,creative_writer,content_writing,242,0.1627437794216543,160,133,0,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",SP_19bb5b9b4167,19bb5b9b416700ffd6ae7da808da052b4b88e996,162
7a490bfafd7436aea43a528e9fe4cb6db10b9a6b,a18b08cd0d04892f06fdf95aedbc24a1460490fa,180,creative_writer,customer_support,445,0.2992602555480834,290,211,0,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",SP_afbdfcb7694b,afbdfcb7694bd84cf4db575f3c1eed266714bd35,163
814335a175319858ca540d38bfcac020ec643c3f,2f72ff388ddc157ee9f28ed93e081c491dd14934,185,creative_writer,data_analysis,248,0.1667787491593813,163,141,0,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",SP_cf1ff26ed509,cf1ff26ed50940569363dfec41666e75134fe802,168
3ee501c0eea07616af572d79e74d4f247c4b4851,4e85511e8742b897bfc5d380c658596a0aff0b49,199,creative_writer,internal_qa,126,0.0847343644922663,93,84,0,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",SP_127f482b9b39,127f482b9b39c39d3f33bfdd983eeac3ca08ad1f,182
